EJERCICIO;MES;ADUANA1;ADUANA2;TIPO_OPERACION;SERIAL;CAPITULO;PARTIDA;SUBPARTIDA;PAIS;PESO;CIF;FOB
2025;5;5;5;2;1;85;8517;85171100;GT ;2242;84657.24;82950
2025;7;9;9;2;3;84;8421;84212900;NI ;5.56;248.69;245.66
2025;5;7;7;2;3;80;8007;80070090;GT ;136.58;649.57;645.12
2025;5;7;7;2;3;82;8201;82019090;GT ;93.95;666.47;660.48
2025;1;3;3;2;1;85;8525;85258990;CO ;8.9;12699.03;11655
2025;5;8;8;2;3;85;8537;85371000;DO ;7.27;824.78;786.15
2025;9;4;4;2;1;44;4419;44199000;GT ;20.96;679.05;654.78
2025;3;7;7;2;3;48;4818;48182000;GT ;2034.6;10480.35;10399.68
2025;10;9;9;2;1;87;8716;87169000;CR ;1703.7;7217.58;7075.14
2025;9;9;9;2;1;32;3208;32089091;PA ;20149.84;97000.1;92830.77
2025;11;9;9;2;1;84;8462;84629090;HN ;1.09;1124.53;1124.53
2025;5;5;5;2;3;87;8716;87168010;MX ;407.27;4119.44;3849.44
2025;7;3;3;2;3;62;6203;62034300;CR ;224.34;8630.4;8630.4
2025;10;9;9;2;1;39;3923;39239020;NI ;536.38;2561.33;2353.04
2025;3;3;3;2;1;70;7018;70189000;US ;0.89;19.4;10
2025;2;7;7;2;1;38;3809;38099100;GT ;9002.32;5976.22;5561.42
2025;5;8;8;2;1;76;7607;76072012;HT ;18594;161372.31;157175.49
2025;7;2;2;2;3;39;3924;39241090;MX ;1422.66;6564;6160.92
2025;3;3;3;2;1;90;9017;90172000;US ;2198.7;46794.33;46794.33
2025;6;5;5;2;1;33;3304;33049900;CO ;56724.24;128167.35;119550.24
2025;10;9;9;2;1;32;3205;32050000;NI ;85;486.08;461.25
2025;10;3;3;2;1;85;8531;85311000;CO ;7.34;1235;1235
2025;5;3;3;2;3;71;7117;71179000;TE ;1;4.5;4.5
2025;5;5;5;2;3;94;9405;94054200;GT ;5.12;72.97;69.48
2025;9;9;9;2;3;82;8205;82055110;CR ;2.47;32.37;30.7
2025;4;5;5;2;3;94;9405;94056900;CO ;289.6;3081.27;2956.8
2025;5;5;5;2;3;90;9004;90041000;GT ;2.38;32.31;30.77
2025;6;9;9;2;3;84;8467;84678900;PA ;99;908.17;872.88
2025;3;3;3;2;3;59;5903;59039090;DO ;120.05;2883;2883
2025;11;2;2;2;3;56;5604;56041000;MX ;25.92;332.4;311.04
2025;5;4;4;2;1;84;8483;84836000;GT ;15.95;31.12;28
2025;6;11;11;2;1;87;8716;87168010;HN ;4680.23;8513.81;8300.96
2025;9;9;9;2;1;39;3921;39211990;CR ;0.2;45.86;44.2
2025;7;9;9;2;1;48;4811;48119040;PA ;1803.9;21891.9;20422.71
2025;2;9;9;2;1;39;3920;39201019;NI ;79327.42;131642.61;125096.16
2025;1;9;9;2;1;73;7318;73181900;HN ;136.8;186.42;173
2025;6;11;11;2;3;65;6505;65050090;HN ;34.52;177.43;175
2025;8;9;9;2;1;48;4817;48171000;CR ;224;1621.11;1444.1
2025;7;9;9;2;3;85;8509;85094000;CR ;26.99;366.47;349
2025;6;9;9;2;3;61;6112;61121100;PA ;48.59;1304.13;1300.06
2025;12;21;99999;2;3;39;3920;39202014;TE ;2207.28;7328.16;7328.16
2025;1;9;9;2;1;48;4810;48101919;CR ;29.14;345.25;293.1
2025;10;2;2;2;3;44;4421;44219190;MX ;849.25;3158.63;2969.64
2025;2;9;9;2;3;65;6506;65069100;CR ;111.6;368.64;357.12
2025;12;4;4;2;1;63;6302;63022200;GT ;206.4;1975.79;1928.8
2025;8;9;9;2;3;61;6104;61046200;PA ;167.47;4754.16;4754.16
2025;5;11;11;2;1;62;6205;62053000;HN ;626.89;32270.38;31902.94
2025;2;3;3;2;3;62;6204;62046200;DO ;51.59;1494.09;1494.09
2025;3;3;3;2;1;84;8471;84718000;PR ;2.7;553.74;476.74
2025;9;9;9;2;3;73;7326;73269000;CR ;26.4;598.21;565.23
2025;7;11;11;2;1;72;7216;72163300;HN ;24364;23106.82;22053.67
2025;6;8;8;2;3;61;6106;61062000;PA ;578.17;14487.18;14487.18
2025;3;9;9;2;1;30;3004;30045010;NI ;20225.51;274393.13;266562.99
2025;4;11;11;2;3;96;9603;96039020;HN ;14631.09;28747.7;27766.8
2025;6;5;5;2;3;42;4202;42022200;CO ;602.62;3446.2;3301.2
2025;5;5;5;2;3;58;5806;58063290;CO ;50.68;365.79;348.76
2025;3;3;3;2;3;39;3926;39269099;US ;592;9959.95;9959.95
2025;5;9;9;2;3;61;6109;61091000;AR ;448.33;26306.09;26010.8
2025;4;5;5;2;3;95;9503;95030033;CO ;1035.44;10720.17;8341.2
2025;4;9;9;2;3;90;9004;90041000;CR ;0.52;3.76;3.54
2025;8;9;9;2;1;73;7319;73199010;HN ;3;121.95;117.6
2025;6;9;9;2;1;20;2005;20052000;HN ;17965.6;68921.75;65682.48
2025;12;4;4;2;1;94;9401;94016900;GT ;5275.57;9499.39;8698
2025;3;5;5;2;1;96;9617;96170000;GT ;1706.12;47475.14;47016.07
2025;6;9;9;2;1;29;2916;29163100;HN ;7000;20944.4;18760
2025;9;4;4;2;1;48;4821;48219000;GT ;2298.46;14923.89;14206.68
2025;4;5;5;2;3;90;9013;90132000;PE ;120.04;2122.67;2027.52
2025;12;4;4;2;1;21;2106;21069099;GT ;9005.61;34342.98;32266.02
2025;12;3;3;2;3;58;5806;58063290;MX ;83.51;1912.57;1911.49
2025;3;5;5;2;1;40;4009;40093100;GT ;6.51;71.45;70.28
2025;10;8;8;2;1;70;7009;70099100;BZ ;2413.1;5742.88;5264.82
2025;3;8;8;2;3;16;1604;16041490;ES ;135434;657502.23;644487.29
2025;4;7;7;2;1;94;9404;94041000;GT ;2609.25;8676.58;8429.04
2025;10;11;11;2;1;96;9606;96062200;HN ;1;118.49;114.48
2025;8;8;8;2;1;39;3920;39202090;DO ;8760.3;58168.38;53481.81
2025;12;3;3;2;3;30;3006;30066000;GT ;27.94;9544.23;9479.61
2025;12;9;9;2;1;84;8409;84099100;HN ;8938.18;93761.51;93204.13
2025;8;2;2;2;3;67;6702;67029000;MX ;635.78;7035.13;6579
2025;12;11;11;2;1;92;9202;92029010;HN ;82;3000;2765.43
2025;5;3;3;2;3;61;6102;61023000;TR ;4.66;15;15
2025;5;8;8;2;3;61;6109;61099000;CN ;556.17;30927.55;30927.55
2025;3;3;3;2;3;62;6211;62114300;US ;595.39;35730.88;35601.45
2025;7;5;5;2;3;96;9605;96050000;PE ;517.88;4094.63;3897.36
2025;9;9;9;2;1;64;6406;64062000;PA ;1053.92;4283.2;3865.2
2025;10;7;7;2;3;90;9025;90251900;GT ;32.49;604.61;599.76
2025;7;9;9;2;1;96;9607;96072011;CR ;10.7;234.78;228.38
2025;3;7;7;2;1;73;7323;73239990;GT ;125;168.96;134.4
2025;11;11;11;2;3;39;3920;39206213;HN ;668.91;6941.35;6941.35
2025;10;9;9;2;3;62;6201;62014000;VE ;81.69;2432.68;2420.4
2025;5;9;9;2;1;61;6107;61071100;CR ;171.22;4275.54;4154.03
